Ticker,Model,RMSE,MAPE
AAPL,LR,9.077261932763445,2.8831942206744654
AAPL,RF,11.394535718293495,4.069891796355733
AAPL,ARIMA,5.944624085342995,1.7082502008180627
AAPL,LSTM,43.52735587702812,19.82768376168183
GOOG,LR,7.266100181547659,2.9424946150300366
GOOG,RF,9.751885978678274,4.080364005744727
GOOG,ARIMA,4.531042844126973,1.6871045642076803
GOOG,LSTM,66.48859995205099,36.06018953599433
MSFT,LR,13.194913936499159,2.367972730272939
MSFT,RF,19.24790761449618,3.3286909774776117
MSFT,ARIMA,8.359076592127593,1.242701841702504
MSFT,LSTM,109.94496843618009,23.541942108832085
TSLA,LR,27.405972556334646,7.105291207017528
TSLA,RF,32.203765604305296,7.855393225022322
TSLA,ARIMA,16.840770535536638,3.615102513024245
TSLA,LSTM,97.53848613083795,29.690674688323888
